"filename", "language", "JSON", "Docker", "C++", "Markdown", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\dev\cpp-judger-project\Dockerfile", "Docker", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\dev\cpp-judger-project\README.md", "Markdown", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 26, 123
"c:\dev\cpp-judger-project\backend\myapp\Dockerfile", "Docker", 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 4, 15
"c:\dev\cpp-judger-project\backend\myapp\controllers\analysisController.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\dev\cpp-judger-project\backend\myapp\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"c:\dev\cpp-judger-project\backend\myapp\controllers\problemController.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 7, 45
"c:\dev\cpp-judger-project\backend\myapp\controllers\roomController.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"c:\dev\cpp-judger-project\backend\myapp\controllers\submissionController.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 11, 39
"c:\dev\cpp-judger-project\backend\myapp\controllers\testcaseController.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\dev\cpp-judger-project\backend\myapp\db\database.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 8
"c:\dev\cpp-judger-project\backend\myapp\db\knexfile.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250821104458_create_submissions_table.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 8, 2, 24
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250823182056_create_problems_and_testcases_tables.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 8, 3, 31
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250823184604_add_output_to_submissions.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 8, 2, 20
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250827152319_change_prob_statement_to_text.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 8, 2, 20
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250830180947_create_users_table.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 8, 2, 21
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250904123656_create_rooms_and_participants_table.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 8, 3, 36
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250904213436_create_rooms.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 8, 3, 36
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20250904215030_create_rooms_and_participants_table.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\dev\cpp-judger-project\backend\myapp\db\migrations\20251116190852_add_roomCode_to_submissions.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 8, 2, 21
"c:\dev\cpp-judger-project\backend\myapp\db\test.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
